Algorithm, 28, 56, 84, 112, 140, 168, 196, 224, 252, 280, 308, 336, 364, 392, 420, 448, 476, 504, 532, 560
CART, 23.452, 23.868, 23.432, 23.187, 23.509, 23.197, 23.718, 23.41, 23.277, 23.236, 23.325, 23.207, 23.668, 23.547, 23.8, 23.557, 23.378, 23.822, 23.358, 23.526
DNN, 25.608, 24.309, 24.907, 25.054, 24.571, 25.485, 25.249, 24.674, 24.507, 24.125, 24.274, 24.451, 24.114, 24.105, 24.219, 23.748, 24.151, 24.108, 24.067, 23.81
DNN-Finetune, 22.369, 21.408, 21.742, 22.306, 21.454, 21.77, 20.984, 21.282, 21.503, 21.465, 21.113, 21.622, 21.34, 21.554, 21.443, 21.312, 20.899, 21.179, 21.204, 21.118
DNN-MMD, 26.09, 24.983, 24.865, 24.938, 24.103, 24.39, 24.333, 24.385, 24.702, 24.362, 24.157, 24.356, 23.959, 24.671, 24.206, 24.185, 24.102, 23.984, 24.084, 24.166
GP, 36.852, 32.771, 30.581, 30.592, 29.66, 29.379, 29.003, 28.677, 28.792, 28.45, 28.333, 28.266, 27.925, 28.056, 27.732, 27.683, 27.806, 27.632, 27.54, 27.366
RT-LR, 23.307, 22.721, 22.923, 22.66, 23.196, 23.039, 22.883, 23.086, 22.971, 22.86, 22.914, 22.868, 22.912, 22.9, 22.987, 22.89, 22.913, 22.886, 22.842, 22.804
