Algorithm, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200
CART, 36.206, 34.327, 32.4, 35.966, 34.327, 33.284, 34.494, 33.326, 33.558, 33.42, 32.542, 32.403, 31.124, 30.554, 28.372, 29.9, 28.371, 29.579, 28.911, 29.068
DNN, 38.665, 36.626, 39.28, 39.908, 37.28, 37.84, 40.617, 37.622, 37.409, 37.285, 38.048, 36.381, 37.055, 36.446, 36.049, 37.391, 34.784, 36.105, 35.954, 36.083
DNN-Finetune, 32.462, 36.818, 35.742, 33.498, 33.312, 32.92, 33.603, 33.656, 33.984, 32.84, 34.446, 33.261, 32.364, 33.218, 34.154, 32.785, 33.228, 32.998, 32.162, 31.082
DNN-MMD, 36.375, 36.105, 35.881, 37.297, 37.475, 37.491, 36.35, 37.052, 37.955, 37.671, 37.479, 36.86, 37.948, 35.714, 36.49, 36.432, 35.92, 36.095, 36.664, 35.336
GP, 39.239, 39.519, 38.469, 36.644, 38.821, 38.329, 40.994, 40.891, 42.241, 36.818, 39.489, 39.746, 37.602, 37.737, 38.328, 38.911, 38.898, 37.514, 37.34, 36.825
RT-LR, 35.656, 35.506, 35.299, 32.967, 36.478, 34.722, 34.977, 32.107, 33.486, 31.38, 33.016, 31.207, 34.973, 32.985, 35.424, 32.195, 32.116, 32.072, 31.681, 30.558
