Algorithm, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135, 144, 153, 162, 171, 180
CART, 6.27, 5.499, 5.56, 5.964, 5.763, 5.408, 5.198, 5.384, 6.024, 5.832, 5.876, 5.443, 5.878, 5.776, 5.7, 5.603, 5.465, 5.683, 5.617, 5.835
DNN, 10.405, 7.598, 6.304, 5.608, 5.873, 6.06, 5.947, 5.482, 5.727, 5.552, 5.341, 5.135, 5.355, 5.187, 5.294, 5.277, 5.036, 4.914, 5.167, 5.067
DNN-Finetune, 4.79, 5.721, 5.227, 4.779, 5.331, 5.007, 5.451, 4.931, 5.15, 4.664, 4.638, 4.78, 4.796, 4.667, 4.666, 4.629, 4.675, 4.522, 4.436, 4.59
DNN-MMD, 9.688, 7.43, 6.805, 5.377, 5.847, 5.292, 5.562, 5.711, 5.229, 5.417, 5.549, 5.442, 5.415, 5.248, 5.084, 4.917, 5.025, 5.094, 5.062, 5.2
GP, 31.177, 16.059, 11.747, 11.413, 10.21, 9.895, 10.033, 9.929, 10.089, 9.111, 9.168, 8.769, 8.299, 8.222, 7.718, 7.991, 7.898, 7.777, 7.737, 7.46
RT-LR, 4.682, 4.643, 4.927, 5.46, 5.314, 5.024, 5.342, 5.061, 5.279, 5.28, 5.217, 5.127, 5.013, 5.11, 4.96, 5.151, 5.242, 4.997, 5.084, 5.141
