Algorithm, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200
CART, 23.281, 22.511, 16.529, 19.268, 18.071, 13.55, 13.899, 12.642, 12.086, 13.035, 12.651, 11.144, 9.665, 12.937, 10.359, 10.765, 11.828, 12.41, 10.437, 9.766
DNN, 21.829, 24.653, 21.446, 22.757, 23.05, 23.234, 21.508, 21.313, 20.849, 21.033, 15.444, 19.558, 16.97, 16.493, 17.168, 16.684, 15.035, 16.263, 15.685, 16.419
DNN-Finetune, 14.532, 13.854, 13.32, 12.64, 12.649, 13.376, 13.61, 14.906, 14.467, 12.527, 14.55, 13.703, 14.05, 14.037, 13.087, 13.846, 14.087, 14.042, 14.602, 15.172
DNN-MMD, 19.255, 25.563, 26.35, 21.325, 21.912, 22.096, 24.017, 18.917, 19.936, 19.174, 19.285, 19.935, 17.632, 15.661, 16.233, 15.544, 17.446, 15.206, 16.675, 16.825
GP, 16.846, 19.041, 18.605, 21.737, 19.475, 19.258, 19.293, 18.322, 19.081, 18.945, 17.393, 19.1, 17.991, 17.379, 16.504, 18.523, 17.647, 18.515, 19.291, 19.086
RT-LR, 15.848, 16.171, 11.314, 11.248, 12.902, 10.128, 11.342, 10.224, 10.697, 11.064, 11.419, 10.822, 10.217, 11.198, 11.246, 11.078, 11.129, 11.147, 11.319, 11.404
