innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,innodb_stats_include_delete_marked,rpl_read_size,innodb_buffer_pool_instances,innodb_log_spin_cpu_abs_lwm,innodb_log_spin_cpu_pct_hwm,performance
845146112,39,1,1,5805056,15450112,40804352,6144,36640768,19666944,0,61,6144,188841323,20,46.18
594125824,7,1,2,7241728,628736,66787328,14336,22173696,58529792,1,37,2048,403443727,57,47.24
2186618880,34,1,1,14374912,7907328,5943296,11264,4678656,45142016,0,6,2048,560036865,89,85.5
141739008,2,0,1,6394880,7871488,54257664,12288,76219392,36633600,0,2,4096,356429180,51,82.16
824121344,4,0,0,10376192,4667392,52124672,34816,99058688,59503616,0,46,2048,83520116,13,73.65
448502784,3,0,2,7667712,6577152,54533120,15360,110529536,22196224,1,43,7168,839214933,41,51.31
163473408,3,1,0,16722944,891904,21550080,49152,81269760,2789376,1,43,5120,152047965,22,56.69
757585920,16,0,1,14379008,1951744,31941632,6144,38167552,44897280,1,21,5120,334302585,48,45.9
190205952,33,0,0,15261696,13467648,26046464,39936,95219712,51847168,0,31,3072,1025284085,63,40.18
2737996800,2,1,2,936960,9491456,48737280,37888,28038144,33413120,0,39,5120,597174371,34,45.38
811354112,14,0,0,9879552,8797184,45869056,28672,31753216,1553408,0,24,7168,334164172,80,39.89
2863168512,20,1,0,13225984,5386240,46362624,41984,40458240,21037056,1,58,4096,223065468,21,34.62
2376810496,30,1,0,1320960,13146112,64693248,27648,20042752,52199424,0,46,4096,1227723056,31,38.87
535059456,25,0,0,7865344,10810368,48566272,31744,17766400,12802048,0,8,3072,1911262213,3,32.41
244043776,8,0,0,5279744,1911808,16431104,4096,96797696,50680832,1,27,3072,319357577,82,40.6
1991386112,35,0,1,4984832,9228288,29491200,19456,18243584,53107712,0,25,2048,2877912721,84,39.4
524509184,3,1,2,2197504,2531328,61505536,18432,124875776,1433600,0,3,7168,966855110,82,32.84
2776126464,16,1,0,14664704,12414976,42930176,47104,76097536,9608192,1,8,4096,173126877,1,33.35
3198977024,24,0,1,3709952,15802368,3418112,22528,587776,57159680,1,22,3072,445071940,11,39.58
2993595392,49,1,1,8570880,15414272,33551360,4096,113515520,8139776,1,16,4096,1834989213,89,38.91
2433378304,9,0,2,10552320,1602560,59241472,25600,96888832,2652160,0,31,7168,858754746,46,34.99
1197811712,33,1,0,5097472,863232,37670912,12288,63745024,62526464,1,43,7168,590731298,68,35.1
1625968640,42,0,2,4633600,267264,2981888,5120,12522496,31876096,1,55,2048,131726268,17,39.71
268485632,22,1,0,14874624,222208,1888256,45056,26114048,8468480,1,17,2048,3532384234,1,40.6
1710955520,9,1,1,16764928,2818048,43296768,27648,103829504,46901248,1,21,4096,1483741961,67,39.92
1664848896,11,1,2,10957824,16689152,42051584,48128,33918976,48324608,1,15,4096,533030783,46,34.56
401765376,17,1,2,14527488,4040704,24184832,34816,22971392,28720128,1,43,3072,498635681,27,40.9
2272413696,17,1,2,10867712,14708736,28029952,26624,93527040,14511104,0,14,3072,310796100,8,33.92
2006679552,43,0,1,1531904,1894400,32856064,41984,6502400,50700288,1,11,2048,28281484,95,42
960302080,38,1,2,3297280,3482624,983040,19456,98847744,17060864,1,29,4096,1503176857,57,40.26
1269116928,26,0,1,8986624,7830528,11622400,7168,45540352,50254848,0,59,6144,643773082,90,40.01
2536536064,27,1,1,16045056,5891072,39461888,4096,103031808,45614080,0,2,6144,19771695,63,39.63
2442081280,39,0,1,14302208,10700800,3738624,19456,76191744,56508416,1,21,5120,408598201,80,40.4
2964639744,32,1,1,11551744,16066560,14785536,39936,90678272,55908352,0,6,3072,347649015,60,39.49
2840509440,19,1,1,14740480,14455808,30413824,43008,102027264,2473984,0,58,3072,218241605,14,39.64
